title,author,length
Gateway,Craig Alanson,Length: 21 hrs and 40 mins
The Power of Strength & Mobility,T. Mittleider,Length: 4 hrs and 6 mins
The Path of Ascension 8,C. Mantis,Length: 27 hrs and 23 mins
An American Tragedy,Theodore Dreiser,Length: 15 hrs and 38 mins
Promised in Blood,Sadie Kincaid,Length: 10 hrs and 44 mins
Hand of God,Jack Slater,Length: 10 hrs and 28 mins
House of Crimson Curses,Ruby Roe,Length: 12 hrs and 25 mins
A Little Life,Hanya Yanagihara,Length: 28 hrs and 38 mins
Leontus: Lord Solar,Rob Young,Length: 5 hrs and 44 mins
House of Flame and Shadows (Part 2 of 2) (Dramatized Adaptation),Sarah J. Maas,Length: 12 hrs
A Kingdom of Flesh and Fire (Part 2 of 2) (Dramatized Adaptation),Jennifer L. Armentrout,Length: 9 hrs
The Blind Man's Eyes,"Edwin Balmer,William MacHarg",Length: 11 hrs and 26 mins
Smooth Sailing,Kristen Ashley,Length: Not Yet Known
The Brave,Dannika Dark,Length: 11 hrs and 52 mins
Intrigued by Danger,Endiya Carter,Length: 15 hrs and 51 mins
Nowhere to Hide,Andrew Grey,Length: 3 hrs and 32 mins
Point of Impact,"J.N. Chaney,Terry Maggert",Length: 9 hrs and 26 mins
The New Thought Treasury,"Napoleon Hill,Mitch Horowitz,Claude M. Bristol,Wallace D. Wattles,George S. Clason,Joseph Murphy,Neville Goddard,Catherine Ponder,Genevieve Behrend",Length: 56 hrs and 29 mins
Wild Side,Elsie Silver,Length: 12 hrs and 17 mins
Nightshade,Michael Connelly,Length: 11 hrs and 30 mins
