title,plot,transcript,url
Trust Us (2022) - full transcript,"Trust Us tells the story of how the US slowly transformed from a constitutional republic into an administrative state, ruled by federal agency experts.",(tense contemplative music),https://subslikescript.com/movie/Trust_Us-26009938
Swooner Crooner (1944) - full transcript,Porky Pig's egg farm faces production problems when a crooning rooster distracts the hens from their jobs.,[COCK-A-DOODLE-DO!],https://subslikescript.com/movie/Swooner_Crooner-37339
Plane Daffy (1944) - full transcript,Daffy Duck is a message courier bird delivering a military secret that a femme fatale Nazi spy is determined to get.,www . OpenSubtitles . org,https://subslikescript.com/movie/Plane_Daffy-37180
A Gruesome Twosome (1945) - full transcript,"Two cats (one a caricature of Jimmy Durante) battle violently for the affections of a pretty girl cat, who'll dispense her favors on the one who brings her a little bird. Unfortunately for the lovestruck felines, the bird in question is a vicious little thing named Tweety.",CAPTIONING MADE POSSIBLE BY,https://subslikescript.com/movie/A_Gruesome_Twosome-37753
I Am T-Rex (2022) - full transcript,"After a power-hungry dinosaur from outside the valley attacks the king of dinosaurs by surprise, a young T-Rex escapes and begins to train, vowing never to return until he is the biggest and bravest in all the land.","65 million years ago,",https://subslikescript.com/movie/I_Am_T-Rex-28117438
Come Into My World: How to Interact with a Person Who Has Dementia (2009) - full transcript,,You.,https://subslikescript.com/movie/Come_Into_My_World_How_to_Interact_with_a_Person_Who_Has_Dementia-11396186
Shadow Warriors (1980) - full transcript,"Upon the death of the third Shogun, his heir is kidnapped by a ninja group. Consequently, Hattori Hanzo fights the evil forces that threaten to destroy the nation.",TOEI COMPANY LTD.,https://subslikescript.com/movie/Shadow_Warriors-6975420
The Young Dragons (1974) - full transcript,"The powerful mobster Leung, who is protected by the dangerous and wicked Huan Fai, sells two hundred Japanese weapons and ammunition to a Chinese gang. He uses the smuggler Luy Fu to bring the weapons but the smalltime thief Kim and his gang heist the shipment on the road and dump the cargo into the sea. However, he lures Luy Fu and asks a large amount to return the weapons with the intention of traveling abroad with his brother. Meanwhile Kim befriends Fan Ming, an undercover police office from Shanghai that is investigating the illegal activities of Leung. When the mobster finds that Fan Ming is a policeman, Leung ambushes him and Huan Fai and his men stab the officer that falls from a cliff into the sea. Kim brings Fan Ming's fiancée Ipi Feng to the house of his lover, the prostitute Hung, and tells Ipi Feng that her fiancé was murdered by Leung. She decides to revenge the death of her beloved Fan Ming with tragic consequences.",We've been here for an hour.,https://subslikescript.com/movie/The_Young_Dragons-70801
Tove (2020) - full transcript,"Depiction on the life of Tove Jansson, showing both her personal relationships, and the creation of the popular Moomin books.",They're going away.,https://subslikescript.com/movie/Tove-11007444
A Not So Royal Christmas (2023) - full transcript,"Tabloid journalist Charlotte attempts to land an interview with a reclusive Count. In response, the royal family has a groundskeeper pose as the Count since the real one fled years ago.",Sorhagen Palace,https://subslikescript.com/movie/A_Not_So_Royal_Christmas-29593677
Land of Fear (1999) - full transcript,A mix between an honored police officer who fight the crimes and a drug dealer in the same person and a confliction in and out.,I finally found a boring,https://subslikescript.com/movie/Land_of_Fear-233234
Daddy Daughter Trip (2022) - full transcript,A spring-break trip with a series of unfortunate adventures is saved when the duo meet a couple of famous travel bloggers.,(soft upbeat music),https://subslikescript.com/movie/Daddy_Daughter_Trip-15367558
The Projected Man (1966) - full transcript,"A scientist experimenting with matter transmission by means of a laser beam decides to use himself as a test specimen. But the process goes awry, and one side of his body becomes deformed and lethal to anyone it touches.",(suspenseful music),https://subslikescript.com/movie/The_Projected_Man-62159
Bunker Hill Bunny (1950) - full transcript,Sam Von Schamm The Hessian and Bugs Bunny fight it out in the little known American Revolutionary War Battle of Bagle Heights.,[trumpet music],https://subslikescript.com/movie/Bunker_Hill_Bunny-42290
The Night Heaven Fell (1958) - full transcript,"Ursula leaves the convent where she was educated, to start living with her uncle, the count Ribera, and her aunt Florentine. When she arrives, she is confronted with a local drama: a youngman from the village, Lambert, whose sister took her own life, accuses the count of being responsible for his sister's death, for having sexually assaulted her. The two men have a duel of honour, in which Lambert is severely wounded, and the count's honour is saved. Ursula acts as a nurse to Lambert, and falls in love with him, only to find out that Lambert is secretly her aunt's lover. One night, the count too, finds out his wife's affair, and again the two men fight, this time Lambert kills the count. Ursula helps him to escape. Florence, mad with jealousy and hatred for her niece, sets the police after him.",- Miss Ursula Desfontaines?,https://subslikescript.com/movie/The_Night_Heaven_Fell-50193
Violette nei capelli (1942) - full transcript,Two sisters and their friend help each other overcome hardship as they struggle to make their dreams come true.,Violets in her Hair,https://subslikescript.com/movie/Violette_nei_capelli-34362
Terminal Island (1973) - full transcript,"After the abolishment of the death penalty, California murderers are dumped on an island to spend the rest of their lives unsupervised. There, two groups are formed, one lead by a psychopath, and another group determined to bring him down.",What's your,https://subslikescript.com/movie/Terminal_Island-70782
Man on the Brink (1981) - full transcript,An undercover cop goes deep undercover to inside one of Hong Kong's most notorious Triad gangs only to find him getting consumed by a life of crime and seediness.,Give me a packet of cigarettes.,https://subslikescript.com/movie/Man_on_the_Brink-185188
Listen Up! (2023) - full transcript,"Finally, summer vacation. Mahmoud wants a relaxing summer, but when Uncle Ji visits from Pakistan, the teen must be his uncle's Oslo guide--and little brother Ali has a secret that turns his whole life upside down.",Mahmoud! Get up now!,https://subslikescript.com/movie/Listen_Up-28538693
Curse of the God Dog (1977) - full transcript,A man looking to mine uranium in a rural Japanese village has the wicked curse of the Dog God set upon him.,TOEI Presents,https://subslikescript.com/movie/Curse_of_the_God_Dog-1987590
Rappakal (2005) - full transcript,The story of a mom and her adopted son and how their life changes after a long-awaited reunion of the joint family.,RAAPPAKAL,https://subslikescript.com/movie/Rappakal-460541
Mad Love (2015) - full transcript,"1959. Guilty of a double-murder, a man is beheaded. At the bottom of the basket that just welcomed it, the head of the dead man tells his story: everything was going so well. Admired priest, magnificient lover, his earthly paradise seemed to have no end.",This film is freely,https://subslikescript.com/movie/Mad_Love-4019142
Kilukkam (1991) - full transcript,"A tourist guide in Ooty shelters a mentally unstable woman in return for the reward offered by her relatives. Later, he comes to know that she is in danger from her relatives.",Oh!,https://subslikescript.com/movie/Kilukkam-255306
How to Fall in Love by Christmas (2023) - full transcript,"A beloved writer-turned-CEO of a lifestyle brand seeks a partnership to save her company. To win them over, she must write a column about falling in love by Christmas--with help from a charming and handsome photographer.",(joyful music),https://subslikescript.com/movie/How_to_Fall_in_Love_by_Christmas-29144851
Je t'aime moi non plus (1976) - full transcript,"Petite waitress Johnny works and lives in a truck-stop, where she's lonely and longs for love. She develops a crush on garbage-truck driver Krassky, although her sleazy boss Boris warns her that he's gay.","Come on, move it!",https://subslikescript.com/movie/Je_taime_moi_non_plus-73196
Anthropophagus II (2022) - full transcript,"University students enter an atomic bunker for research. A sinister caretaker traps them inside. During the night, two students disappear. A cannibalistic madman disfigures and devours the group one by one through unprecedented violence.",- Help me!,https://subslikescript.com/movie/Anthropophagus_II-13757762
The Morning After (2023) - full transcript,"Jo and Sophie wake from a drunken lesbian encounter to find the house besieged by incels led by an erudite Big Gay Bunny. When Sophie's ex-boyfriend is discovered, he is forced to reclaim his manhood by doing one simple trick.","Hi, Benji.",https://subslikescript.com/movie/The_Morning_After-17541886
Hyde Park (2022) - full transcript,"A Nigerian-American attorney is tasked with saving his client who is gay from deportation, all while defining his cultural identity in his romantic relationship with his American girlfriend.",I really,https://subslikescript.com/movie/Hyde_Park-15727400
Body on the Beach () - full transcript,,Annie didn't feel lonely.,https://subslikescript.com/movie/Body_on_the_Beach-21155252
Earth () - full transcript,,Just look at that.,https://subslikescript.com/movie/Earth-7541728
