Title,Author,Length
The Path of Ascension 8,By: C. Mantis,Length: 27 hrs and 23 mins
Phantom,By: H. D. Carlton,Length: 8 hrs and 53 mins
Gateway,By: Craig Alanson,Length: 21 hrs and 40 mins
Promised in Blood,By: Sadie Kincaid,Length: 10 hrs and 44 mins
Garden of Sanctuary,By: pirateaba,Length: 32 hrs and 59 mins
The Antiquary,By: Sir Walter Scott,Length: 18 hrs and 57 mins
The Fall Risk,By: Abby Jimenez,Length: 2 hrs
Getting Things Done,"By: David Allen, James Fallows - foreword",Length: 10 hrs and 17 mins
Casualties of Consequence,"By: J.N. Chaney, Terry Maggert",Length: 13 hrs and 45 mins
The Moretti Men: Devils Thirst,By: Jill Ramsower,Length: 9 hrs and 12 mins
Requirements,By: SunriseCV,Length: 19 hrs and 45 mins
The Last Stroke,By: Lawrence L. Lynch,Length: 7 hrs and 9 mins
Cribsheet,By: Emily Oster,Length: 10 hrs and 25 mins
The Weakest Tamer Began a Journey to Pick Up Trash (Light Novel) Vol. 7,By: Honobonoru500,Length: 8 hrs and 21 mins
Frustrated Justice,By: Heather G. Harris,Length: 1 hr and 25 mins
Framed in Death,By: J. D. Robb,Length: 12 hrs and 51 mins
Point of Impact,"By: J.N. Chaney, Terry Maggert",Length: 9 hrs and 26 mins
Returner's Defiance 2,By: Bruce Sentar,Length: 14 hrs and 27 mins
The Tenant,By: Freida McFadden,Length: 9 hrs and 43 mins
Annie Besant,By: Annie Wood Besant,Length: 9 hrs and 14 mins
